"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"98",9025,"Survey","Burial Mound","Pasture","Scrub",2010-10-23,"25",30,"2","3","Bioturbation"
"99",9026,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-10-23,"35",35,"1.5","1","None"
"100",9027,"Legacy verification","Burial Mound","Pasture","Pasture/Scrub",2010-10-23,"40",40,"4","1","Bioturbation"
"101",9028,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","3","Looting"
"102",9029,"Survey","Burial Mound","Annual agriculture","Pasture",2010-10-23,"40",40,"8","4","Looting"
"103",9030,"Legacy verification","Burial Mound","Annual agriculture","Pasture",2010-10-23,"60",60,"7","5","Looting"
"104",9037,"Legacy verification","Burial Mound","Pasture","Pasture",2010-10-24,"32",32,"2.5","1","None"
"105",9038,"Survey","Burial Mound","Pasture","Scrub",2010-10-24,"25",25,"2.0","4","Looting"
"106",9039,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",2010-10-24,"15",20,"0.4","5","Agriculture"
"107",9040,"Survey","Uncertain Mound","Annual agriculture","Pasture",2010-10-24,"30",30,"2.2","1","Agriculture"
"108",9042,"Survey","Surface Scatter","Pasture","Pasture",2010-10-24,"50",50,"0.1","5","Construction"
"109",9043,"Legacy verification","Burial Mound","Pasture/Scrub","Scrub",2010-10-24,"30",30,"1.5","5","Looting"
