"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","geometry"
"43",6017,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"67",60,"5","4","Agriculture",200696,"recorded in 2009",475952.8624,4683745.672,c(475952.8624, 4683745.672)
"44",6019,"survey","Burial Mound","Annual agriculture","Scrub",2009-11-05,"77",77,"10","2","Post-depositional",200592,"Registed in 2009 season",467339.0597,4680881.9683,c(467339.0597, 4680881.9683)
"45",6020,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-05,"30",30,"0.5","5","Agriculture",0,"Mound",467276.3447,4680734.3649,c(467276.3447, 4680734.3649)
"46",6022,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-06,"38",38,"2","5","Agriculture",200698,"recorded in 2009",476883.0142,4684663.2151,c(476883.0142, 4684663.2151)
"47",6023,"survey","Extinct Burial Mound","Annual agriculture","Scrub",2009-11-07,"17",6,"0.5","5","Looting | Agriculture",0,"Mound",474518.7522,4682477.3703,c(474518.7522, 4682477.3703)
"48",6024,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"20",20,"0.3","5","Agriculture",0,"Mound",474657.824,4682420.1391,c(474657.824, 4682420.1391)
"49",6025,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"40",40,"0.8","5","Agriculture",200660,"recorded in 2009",474545.7495,4682263.2975,c(474545.7495, 4682263.2975)
"50",7001,"survey","Burial Mound","Annual agriculture","Scrub",2009-10-12,"20",15,"1.5","1","Post-depositional",0,"Mound",467633.5007,4680826.3169,c(467633.5007, 4680826.3169)
"51",7002,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-10-12,"10",10,"0.5","5","Agriculture",0,"Mound",468895.7372,4681870.0745,c(468895.7372, 4681870.0745)
"52",7003,"survey","Burial Mound","Scrub","Scrub",2009-10-12,"30",30,"5","2","Post-depositional",0,"Mound",468977.5502,4682043.7824,c(468977.5502, 4682043.7824)
"53",7004,"survey","Burial Mound","Scrub","Scrub",2009-10-20,"40",40,"3.5","1","Post-depositional",200619,"recorded in 2009",469804.5591,4681053.1312,c(469804.5591, 4681053.1312)
"54",7005,"survey","Burial Mound","Annual agriculture","Scrub",2009-10-21,"35",35,"2.5","5","Agriculture | Looting",200620,"recorded in 2009, kurgan Kral Mezar",470951.7463,4682284.5489,c(470951.7463, 4682284.5489)
"55",7006,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-22,"20",20,"1","5","Agriculture",0,"Mound",471960.6906,4682424.3106,c(471960.6906, 4682424.3106)
"56",7007,"survey","Burial Mound","Annual agriculture","Pasture",2009-10-26,"35",30,"2","5","Agriculture | Looting",200657,"recorded in 2009",472839.26,4682994.2943,c(472839.26, 4682994.2943)
"57",7010,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"35",30,"1.5","2","Agriculture",0,"Mound",474571.582,4683865.8835,c(474571.582, 4683865.8835)
