TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
9094,NA,Burial Mound,Pasture,Pasture,NA,40,,2,4,NA
9095,NA,Burial Mound,Annual agriculture,Annual agriculture,NA,30,,1.5,3,NA
9096,NA,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,3,NA
9097,NA,Extinct Burial Mound,Annual agriculture,Pasture,NA,20,,2,5,NA
9098,NA,Uncertain Mound,Annual agriculture,NA,NA,40,,0.3,5,NA
9099,NA,Burial Mound,Annual agriculture,Pasture,NA,40,,6,4,NA
9100,NA,Burial Mound,Scrub,Scrub,NA,25,,3,3,NA
9101,NA,Burial Mound,Annual agriculture,Scrub,NA,20,,2,5,NA
9102,NA,Burial Mound,Annual agriculture,Scrub,NA,20,,1.5,5,NA
9103,NA,Burial Mound,Annual agriculture,Annual agriculture,NA,20,,1.5,3,NA
9104,NA,Burial Mound,Scrub,Pasture,NA,30,,3,5,NA
9105,NA,Burial Mound,Annual agriculture,Pasture,NA,30,,2,5,NA
9106,NA,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,0.5,5,NA
9107,NA,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,25,,1,5,NA
9108,NA,Burial Mound,Annual agriculture,Pasture,NA,30,,2,4,NA
9109,NA,Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,3,NA
9110,Legacy verification,Burial Mound,Annual agriculture,Scrub,NA,60,,6,4,Looting
9111,Survey,Uncertain Mound,Pasture,Pasture,NA,30,,4,5,Construction
9112,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,40,,1.5,4,Agriculture
9113,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,NA,30,,0.8,4,Agriculture
9114,Legacy verification,Extinct Burial Mound,Pasture,Pasture,NA,30,,1.5,4,Agriculture
9115,Survey,Extinct Burial Mound,Pasture,Pasture,NA,30,,1.5,4,Agriculture
9116,Survey,Burial Mound,Pasture,Pasture,NA,20,,0.6,5,Agriculture
